resource_name,image_url
"Kaléidoscope SCIENTIFIQUE","https://www.amazon.com.be/Daity-Kal%C3%A9idoscope-Polygonal-%C3%A9ducatif-d%C3%A9compression/dp/B07FKG4R8P"
"Mission Spatiale -à la conquête des planètes","https://fr.pngtree.com/freepng/astronaut-moon-walk-space-exploration_20047358.html"
"Elementarium","https://disneyparksfanon.fandom.com/wiki/Elementarium"
"Marchand de sable","https://video-a-la-demande.orange.fr/film/LEMARCHANDDW0051104/le-marchand-de-sable"
"Jeu à 10 balles","https://www.regles-jeux-plein-air.com/regle-de-la-passe-a-dix/"
"Le terrier du lapin","https://www.istockphoto.com/fr/illustrations/terrier-lapin"
"Brochettes de Fruits Déguisées en Bonhomme de Neige","https://www.bienmanger.com/1F27763_Brochette_Bonbons_Bonhomme_Neige.html"
"Chocolat chaud crémeux","https://fr.pngtree.com/so/chocolat-chaud"
"Maracas - rouleau de papier","https://www.babysits.fr/ressources-communautaires/472/bricolages-pour-enfants-diy-maracas/"
"Méthodes de formations d'équipes","https://fr.pngtree.com/freepng/collaboration-conversation-teamwork-teaming-to-achieve-a-common-team-goal_15563768.html"
"Les Gardiens de la Nature","https://www.facebook.com/pagemerenature/"
"Strike","https://www.stickpng.com/fr/img/sport/bowling/bowling-strike"
"Totem","https://www.vecteezy.com/png/47270513-carved-wooden-totem-pole-with-eagle-design"
"Tremblement de terre","https://fr.pngtree.com/free-png-vectors/un-tremblement-de-terre"
"Kit à cookies Express","https://www.delscookingtwist.com/fr/cookie-mix-aux-pepites-de-chocolat-en-bocal-une-etiquette-a-imprimer/"
"Kit chocolat chaud Express","https://www.750g.com/kit-pour-chocolat-chaud-un-cadeau-qui-ravira-les-fans-de-chocolat-r200310.htm"
"Kit riz au lait au Carambar express","https://www.mjc-lezignan-corbieres.com/shop/KIT-RIZ-AU-LAIT_p48.html"
"Collier avec des rondelles en acier","https://www.ungrandmarche.fr/boutiques/p/colliers/destockage-collier-rondelles-10-ou-6-mm-dentelees-acier-pen/3543052?srsltid=AfmBOoriXZGFrI1FipYx1hRtcl6HEv9ABw1XMFaBtxwvDqMGPxpCFTtl"
"Bonnet de laine à suspendre","https://www.jeuxetcompagnie.fr/petit-bonnet-en-laine-pour-sapin/"
"LA MACHINE à VOYAGER DANS LE TEMPS","https://www.istockphoto.com/fr/illustrations/machine-%C3%A0-voyager-dans-le-temps-illustrations"
"Voyage Temporel - L'Aventure des Explorateurs","https://eden-saga.com/le-voyage-temporel.html"
"L'instrument mystère","https://bassistepro.com/instrument-le-zeze/"
"Bases cachées","https://www.freepik.es/vector-premium/ocultar-buscar-ilustracion-vectorial_28044625.htm"
"Couples de célébrités","https://fr.pngtree.com/freepng/beautiful-couple-in-love-on-valentines-day-happy_14314876.html"
"Kit Vin chaud Express","https://www.papillesetpapillotes.com/recettes/vin-chaud-de-noel/"
"Macaron de noël","https://www.istockphoto.com/fr/photos/macaron-noel"
"Mandarines enrobées de chocolat","https://www.cuisineactuelle.fr/culture-food/idees-de-menus/tendances-culinaires/clementines-enrobees-de-chocolat-croquant-la-recette-facon-franui-195384"
"Mendiants au chocolat","https://chefsimon.com/gourmets/la-p-tite-cuisine-de-pauline/recettes/mendiants-au-chocolat-noir-et-lait"
"Meringues arc-en-ciel","https://fr.dreamstime.com/belle-meringue-arc-en-ciel-plat-blanc-pr%C3%A9sentant-des-couleurs-pastel-texture-lisse-charmante-cr%C3%A9ation-image387942141"
"Nougat tendre aux amandes","https://www.valgourmand.com/2920-nougats-amandes-cubes-blanc-ref-ll25.html"
"Nougatine","https://www.istockphoto.com/fr/photos/nougatine"
"Orangettes au chocolat noir","https://www.lesfleurons-apt.com/fr/content/16-recette-des-orangettes-au-chocolat-noir"
"Sablés colorés de Noël","https://www.istockphoto.com/fr/photos/biscuit-de-noel"
"Comptabilité","https://fr.dreamstime.com/illustration/comptabilit%C3%A9.html"
"Conduite de réunion","https://www.istockphoto.com/fr/illustrations/r%C3%A9union-de-travail"
"Accueil des enfants en situation de handicap en Accueil Collectif des Mineurs ACM","https://www.enfant-different.org/mercredis-et-vacances-scolaires/accueil-enfants-en-situation-de-handicap-acm/"
"Définir son contexte","https://depositphotos.com/fr/vectors/contexte.html"
"Exemples d'objectifs pédagogiques","https://blogs.articulate.com/les-essentiels-du-elearning/comment-bien-rediger-les-objectifs-pedagogiques-de-votre-module-e-learning/"
"Exercice pour formuler un objectif","https://fr.vecteezy.com/vecteur-libre/objectif"
"Exercice des moyens","https://www.flaticon.com/fr/icone-gratuite/techniques_11131807"
"L'évaluation","https://fr.freepik.com/photos-vecteurs-libre/bonne-evaluation"
"Les objectifs pédagogiques et les moyens","https://www.colonie-evasoleil.com/semanciper-de-la-pedagogie-par-objectifs/"
"Projet de Fonctionnement","https://fr.freepik.com/photos-vecteurs-libre/lancement-du-projet"
"squelette projet pédagogique","https://www.gommeetgribouillages.com/fabriquer-un-mannequin-articule/"
"Verbes d'action - Objectifs pédagogiques","https://fr.freepik.com/photos-vecteurs-libre/objectif-pedagogique"
"Pistes critères d'évaluation","https://www.flaticon.com/fr/icone-gratuite/evaluation_6019848"
"Délégations","https://fr.dreamstime.com/illustration/d%C3%A9l%C3%A9gation.html"
"Management","https://depositphotos.com/fr/photos/roles-of-management.html"
"Plan - Bilan de formation BAFD","https://www.jesuisanimateur.fr/diplomes-animation/formation-bafd/rediger-son-bilan-de-formation-bafd"
"AS","https://www.animyjob.com/mag-article/assistant-sanitaire-role-missions-formation/17-05-25/1018"
"Critères BAFD","https://blog.landot-avocats.net/2024/02/05/il-ne-faut-point-confondre-criteres-de-selection-et-elements-dappreciation/"
"Droit du travail","https://stock.adobe.com/fr/images/code-du-travail/105546269"
"Exemples de décisions de justice en ACM 10","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 11","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 12","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 13","https://fr.vecteezy.com/png-gratuit/justice?page=10"
